,sla,lnm,lls,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
14,0.0304649032283,20.162857621,0.389401831597,3220.54443359,3211.38623047,3216.55615234,3108.66870117,3048.03466797,3165.31396484,3132.02001953,3062.48803711,3239.48144531,3172.78369141
15,0.0248249102244,38.0433066898,3.58186138152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0209069027459,29.8525176823,1.44157544433,2569.99023438,2589.99902344,2594.23925781,2509.21972656,2458.6887207,2543.70703125,2523.63037109,2408.04296875,2614.81542969,2563.08007812
17,0.0274551143901,17.1665934974,0.480378059056,3084.39624023,3070.44799805,3072.75,2971.91748047,2917.74511719,3035.87402344,2996.54882812,2993.16894531,3092.71923828,3030.54125977
18,0.0105759592896,27.7462175687,0.856395127433,3095.80029297,3055.22802734,3057.03198242,2979.70849609,2938.28125,3085.19897461,2975.38623047,3000.46240234,3091.86401367,3011.50830078
19,0.0349864460849,16.5093723955,2.22362351222,3972.25854492,3942.82983398,3933.93164062,3839.41601562,3787.52270508,4006.42236328,3851.85351562,3780.8737793,3996.13867188,3888.96386719
20,0.0195633696456,34.8647271825,2.50887666006,3306.3125,3330.62841797,3337.55029297,3224.99804688,3159.5234375,3281.45556641,3247.09375,3109.82446289,3363.06494141,3290.53198242
21,0.00980086865615,62.2754961147,2.99885944573,3044.30004883,3032.44799805,3036.9296875,2935.18286133,2878.65771484,2987.58227539,2956.88696289,2904.14990234,3058.41235352,2996.19799805
22,0.053795267297,16.0074993607,0.502285264423,3191.23095703,3177.41748047,3180.72949219,3075.72290039,3018.24853516,3136.92871094,3101.30273438,3081.98583984,3202.49487305,3138.71435547
23,0.0160645215595,18.7929017174,3.69536619142,2405.77807617,2384.21508789,2384.41699219,2310.1015625,2276.94018555,2370.96191406,2322.75512695,2346.25439453,2401.21484375,2350.68212891
24,0.0581140026109,20.4547180155,0.479216983343,4537.96972656,4650.65185547,4679.37988281,4518.55029297,4401.52636719,4608.61914062,4549.38427734,4272.58886719,4707.14892578,4605.25
25,0.0199894357531,22.2441858214,1.22331228303,1969.71801758,1954.05029297,1951.8449707,1893.68164062,1867.24804688,1943.41955566,1905.09777832,1927.10913086,1970.75415039,1932.77587891
26,0.0344880972783,27.8556585094,1.14598941452,3628.64746094,3611.05371094,3613.62841797,3497.65795898,3431.60791016,3582.44921875,3526.13330078,3500.859375,3639.05029297,3562.68945312
27,0.0205538945356,40.2862761862,1.67940335004,2440.84619141,2430.53979492,2431.19140625,2352.29760742,2310.60888672,2396.43212891,2370.02050781,2385.80371094,2447.60668945,2401.3840332
28,0.0361204400492,19.9638348418,0.323363934063,2674.39990234,2663.65771484,2664.95849609,2577.83349609,2531.61645508,2627.3515625,2598.52368164,2608.1796875,2682.70825195,2631.16577148
29,0.0176490019546,44.9530241862,2.96708169014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0200695964185,23.808732619,0.902336562863,2822.38085938,2811.60302734,2815.31445312,2721.72167969,2669.62255859,2766.8269043,2740.86401367,2693.0234375,2835.78369141,2779.50341797
31,0.0283587003142,24.3170653786,0.808571122533,3366.98217773,3349.45019531,3347.74853516,3245.34960938,3189.97949219,3336.22119141,3270.88989258,3269.17895508,3372.21679688,3302.90673828
32,0.0135044563281,17.8853479076,0.790342043577,2786.09667969,2771.26708984,2769.52929688,2682.05664062,2638.33398438,2751.32519531,2703.79589844,2719.71557617,2788.74951172,2733.58642578
33,0.0147062996978,26.6809979101,2.55294899378,4596.72460938,4553.14404297,4553.92578125,4418.38134766,4346.50390625,4587.07128906,4432.32080078,4342.91699219,4621.78222656,4484.91162109
34,0.0404159828683,25.3838935356,1.3592695104,4006.99951172,4008.9309082,4016.03417969,3882.83398438,3801.98583984,3963.52197266,3912.37353516,3792.91772461,4045.87109375,3957.54492188
35,0.0212774218694,29.4386323719,2.47466993648,2396.38427734,2386.11523438,2387.82910156,2310.45605469,2267.93481445,2347.98193359,2326.00195312,2323.98828125,2404.98046875,2359.72460938
36,0.0434422209437,27.5733705143,0.565212586658,3182.79296875,3175.67211914,3180.93237305,3074.17578125,3013.95849609,3129.50537109,3096.60644531,3022.34863281,3203.65234375,3137.28442383
37,0.0422512615147,22.1900076668,0.670188144774,1934.72631836,1922.62536621,1917.34643555,1862.80249023,1837.14892578,1913.8425293,1874.73632812,1892.87597656,1936.66601562,1901.46582031
38,0.0530043414369,14.8117079298,1.50037811607,2351.24804688,2337.39501953,2335.55859375,2261.58740234,2225.97509766,2316.32080078,2278.9831543,2300.07421875,2353.15405273,2307.67871094
39,0.0304062064072,20.1379875786,1.39748253053,2809.05517578,2804.81298828,2809.02880859,2714.828125,2662.44873047,2760.4296875,2733.0246582,2662.31762695,2830.1809082,2771.59155273
40,0.0178831630604,36.5180189402,2.66820769903,3156.36181641,3140.07763672,3143.93212891,3039.19042969,2981.88623047,3100.20996094,3062.70507812,3033.53515625,3165.77294922,3100.47460938
41,0.0473006832843,30.3801452935,1.05415911373,3116.0234375,3105.06933594,3109.76416016,3005.54785156,2947.43945312,3059.73754883,3027.98828125,2969.65795898,3131.83056641,3067.84570312
42,0.0232491769794,20.1200944037,0.836896297936,1911.29345703,1906.01513672,1905.21166992,1848.83666992,1816.20947266,1875.96557617,1859.83447266,1880.63122559,1920.09448242,1888.44677734
43,0.0415193725952,21.8160236807,1.11437165634,3413.55810547,3393.38232422,3392.72070312,3288.46777344,3232.01953125,3379.49707031,3313.35449219,3310.21801758,3419.19067383,3347.52246094
44,0.0120348559539,31.9973223946,1.80347741987,2541.43969727,2529.2644043,2530.90136719,2447.49853516,2403.33007812,2492.51660156,2465.5390625,2470.44750977,2548.47070312,2499.03466797
45,0.0179374020974,33.663502393,1.80616897257,3950.84545898,3934.09570312,3937.31738281,3810.62402344,3735.99389648,3903.06787109,3843.29101562,3793.53173828,3965.50927734,3881.46533203
46,0.0192517597309,36.8989897318,2.94064846768,3174.51855469,3160.2590332,3163.37890625,3058.99902344,3002.00952148,3122.2434082,3084.17382812,3069.35400391,3184.41455078,3120.09008789
47,0.0107084022703,43.3819718358,3.04115338209,2994.36962891,2989.37133789,2994.16943359,2893.74267578,2837.18066406,2942.75219727,2914.13134766,2839.52734375,3015.89892578,2954.37646484
48,0.0310906621843,13.525878373,0.486548329336,3689.46435547,3677.78662109,3683.27734375,3561.52978516,3490.51977539,3634.26074219,3590.20507812,3515.05126953,3709.82519531,3632.00097656
49,0.0393927849455,38.9213455884,1.3641706896,3365.74560547,3325.0715332,3330.40136719,3239.14550781,3190.05371094,3345.11425781,3235.68310547,3254.69677734,3361.78955078,3273.67895508
